City_ID,City,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,westport,41.1415,-73.3579,72.91,74,100,1.01,US,1662865284
160,bafq,31.6128,55.4107,76.5,33,14,2.26,IR,1662865526
161,lompoc,34.6391,-120.4579,77.77,78,40,8.05,US,1662865363
162,hami,42.8,93.45,86.4,16,0,2.33,CN,1662865531
163,mago,53.2514,140.1822,56.73,74,100,5.79,RU,1662865533
164,maple creek,49.9168,-109.4848,59.67,27,0,10.58,CA,1662865468
165,alice springs,-23.7,133.8833,69.35,46,58,14.97,AU,1662865537
166,port hardy,50.6996,-127.4199,56.91,85,0,5.73,CA,1662865540
167,imuris,30.7833,-110.8667,76.55,63,100,4.25,MX,1662865542
168,pacifica,37.6138,-122.4869,75.67,88,100,10.36,US,1662865285
169,north bend,43.4065,-124.2243,69.24,77,0,6.91,US,1662865546
170,akureyri,65.6835,-18.0878,50.41,98,100,9.37,IS,1662865549
171,ejido,8.5514,-71.2375,66.15,90,31,5.48,VE,1662865551
172,qaanaaq,77.484,-69.3632,38.68,97,100,8.48,GL,1662865555
173,sagauli,26.7833,84.7333,85.24,72,15,14.81,IN,1662865558
174,saint george,37.1041,-113.5841,75.79,53,0,0.0,US,1662865480
175,zhanaozen,43.3,52.8,53.15,56,0,6.38,KZ,1662865562
176,san rafael,-34.6177,-68.3301,54.54,22,0,8.52,AR,1662865379
177,catuday,16.2923,119.8062,83.08,70,12,10.65,PH,1662865567
178,yanam,16.7333,82.2167,80.89,84,100,7.92,IN,1662865571
179,san angelo,31.4638,-100.437,81.61,58,0,11.5,US,1662865574
180,ayan,56.45,138.1667,56.77,52,62,6.96,RU,1662865576
181,bathsheba,13.2167,-59.5167,83.01,78,20,11.5,BB,1662865578
182,manzanillo,20.3433,-77.1167,79.68,78,28,4.54,CU,1662865581
183,selikhino,50.3672,137.4996,70.54,63,6,12.91,RU,1662865583
184,taltal,-25.4,-70.4833,55.35,75,46,2.64,CL,1662865585
185,kahului,20.8947,-156.47,86.02,71,40,20.71,US,1662865588
186,durban,-29.8579,31.0292,67.01,92,88,1.99,ZA,1662865590
187,ponta do sol,32.6667,-17.1,77.0,87,86,7.92,PT,1662865592
188,buchanan,5.8808,-10.0467,75.15,91,100,7.52,LR,1662865595
189,cervo,43.6702,-7.4101,66.18,72,0,3.04,ES,1662865597
190,naze,28.3667,129.4833,81.45,77,94,7.74,JP,1662865599
191,mar del plata,-38.0023,-57.5575,46.87,84,0,4.61,AR,1662865601
192,partenit,44.578,34.3446,66.92,70,87,9.31,UA,1662865604
193,geraldton,-28.7667,114.6,72.01,56,0,13.8,AU,1662865606
194,dandong,40.1292,124.3947,76.75,62,4,4.9,CN,1662865608
195,saint-augustin,51.226,-58.6502,53.42,91,0,7.07,CA,1662865611
196,acapulco,16.8634,-99.8901,80.42,83,100,5.75,MX,1662865368
197,damghan,36.1683,54.348,66.02,54,0,4.43,IR,1662865615
198,yerofey pavlovich,53.9667,121.9667,55.96,43,99,5.91,RU,1662865617
199,sirumugai,11.3333,77.0167,78.37,77,100,3.44,IN,1662865620
200,ribeira grande,38.5167,-28.7,72.73,74,100,28.23,PT,1662865622
201,mabaruma,8.2,-59.7833,73.83,98,54,3.04,GY,1662865624
202,ugoofaaru,5.6667,73.0,80.64,81,84,13.47,MV,1662865629
203,hasaki,35.7333,140.8333,81.28,77,86,22.84,JP,1662865365
204,tarakan,3.3,117.6333,76.5,94,75,0.0,ID,1662865633
205,yinchuan,38.4681,106.2731,72.16,41,0,4.25,CN,1662865636
206,marand,38.4329,45.7749,59.36,68,0,4.27,IR,1662865639
207,krapivinskiy,54.9992,86.8133,56.26,48,27,4.76,RU,1662865641
208,itaituba,-4.2761,-55.9836,77.22,55,13,2.84,BR,1662865643
209,turukhansk,65.8167,87.9833,40.3,58,69,2.75,RU,1662865645
210,nago,26.5881,127.9761,84.45,85,100,13.69,JP,1662865648
211,ishoj,55.6154,12.3518,59.14,94,75,6.91,DK,1662865650
212,tsiroanomandidy,-18.7667,46.0333,57.6,81,0,2.71,MG,1662865640
213,nampula,-15.1165,39.2666,62.42,90,0,1.88,MZ,1662865654
214,george,-33.963,22.4617,53.6,77,29,8.95,ZA,1662865657
215,puerto escondido,15.85,-97.0667,80.26,86,100,6.96,MX,1662865659
216,villazon,-22.0866,-65.5942,50.45,22,9,14.52,BO,1662865661
217,balezino,57.9796,53.0106,39.52,96,72,3.85,RU,1662865664
218,sorong,-0.8833,131.25,81.28,73,100,0.94,ID,1662865666
219,joacaba,-27.1781,-51.5047,45.75,88,2,1.77,BR,1662865668
220,kasongo,-4.45,26.6667,70.07,90,89,2.77,CD,1662865670
221,talnakh,69.4865,88.3972,38.21,100,100,7.61,RU,1662865673
222,ouadda,8.0777,22.4007,66.31,98,90,3.62,CF,1662865675
223,sibu,2.3,111.8167,86.76,62,100,2.55,MY,1662865677
224,patan,27.6667,85.3333,73.78,83,75,2.3,NP,1662865681
225,semporna,4.4818,118.6112,83.93,70,60,1.41,MY,1662865683
226,kailua,21.4022,-157.7394,82.38,77,7,3.0,US,1662865685
227,dikson,73.5069,80.5464,38.61,73,100,13.56,RU,1662865688
228,tengzhou,35.0771,117.1518,77.16,59,76,3.98,CN,1662865690
229,roald,62.5833,6.1333,53.76,93,100,0.0,NO,1662865693
230,pringsewu,-5.3582,104.9744,81.25,77,100,2.39,ID,1662865695
231,yar-sale,66.8333,70.8333,42.28,79,100,8.63,RU,1662865697
232,half moon bay,37.4636,-122.4286,78.89,81,40,10.36,US,1662865620
233,lillers,50.5635,2.4804,60.69,92,2,3.22,FR,1662865527
234,namibe,-15.1961,12.1522,64.83,90,87,3.6,AO,1662865624
235,berdigestyakh,62.0989,126.6992,45.54,55,41,10.0,RU,1662865706
236,kirakira,-10.4544,161.9205,82.56,75,37,7.43,SB,1662865708
237,barrow,71.2906,-156.7887,37.42,87,100,14.97,US,1662865710
238,quatre cocos,-20.2078,57.7625,69.91,64,67,12.41,MU,1662865713
239,naantali,60.4674,22.0243,52.86,93,0,2.3,FI,1662865715
240,sarangani,5.4033,125.4636,82.63,71,100,4.47,PH,1662865717
241,namatanai,-3.6667,152.4333,85.35,59,89,12.46,PG,1662865720
242,pombas,17.1503,-25.0201,76.19,87,58,12.68,CV,1662865722
243,los llanos de aridane,28.6585,-17.9182,69.12,88,0,4.61,ES,1662865724
244,kuruman,-27.4524,23.4325,58.86,22,59,8.12,ZA,1662865726
245,provideniya,64.3833,-173.3,45.64,65,94,12.5,RU,1662865729
246,asyut,27.181,31.1837,76.24,50,0,11.12,EG,1662865731
247,jardim,-21.4803,-56.1381,65.68,53,6,6.98,BR,1662865733
248,gigmoto,13.7796,124.39,87.55,64,91,4.36,PH,1662865736
249,tabuk,17.4189,121.4443,85.14,70,47,4.38,PH,1662865738
250,hualmay,-11.0964,-77.6139,60.67,83,19,12.53,PE,1662865744
251,cilieni,43.9,24.6167,65.73,64,6,11.32,RO,1662865747
252,touros,-5.1989,-35.4608,76.23,76,0,15.14,BR,1662865749
253,sitka,57.0531,-135.33,58.89,63,40,11.5,US,1662865751
254,caala,-12.8525,15.5606,56.48,76,56,2.93,AO,1662865754
255,hoquiam,46.9809,-123.8893,68.85,68,75,0.0,US,1662865756
256,clyde river,70.4692,-68.5914,37.63,100,100,2.3,CA,1662865758
257,boa vista,2.8197,-60.6733,80.58,73,0,3.44,BR,1662865760
